Key,English,Thai
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM,Current Minimum Bid,Bidขั้นต่ำในปัจจุบัน
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM_TIP,Current Guild Bid:,Guild Bid ปัจจุบัน:
UI_GUILDCOMBAT_STATE_APPLY,Apply,Apply
UI_GUILDCOMBAT_STATE_APPLY_TIP,Show Guild Siege Application Menu.,แสดงเมนูสมัคร Guild Siege
UI_GUILDCOMBAT_STATE_REFRESH,Refresh,Refresh
UI_GUILDCOMBAT_STATE_REFRESH_TIP,Review present Guild Siege Application Requirements.,ตรวจสอบข้อกำหนดการสมัคร Guild Siege ในปัจจุบัน
UI_GUILDCOMBAT_STATE_LIST_TIP,The 10 Guilds that bid the highest amount of penya can join the Guild Siege.,กิลด์ทั้ง 10 ที่ bid penya สูงสุดสามารถเข้าร่วม Guild Siege ได้
UI_GUILDCOMBAT_CANCEL_TITLE,Guild Siege - Cancel Application,Guild Siege - ยกเลิกการสมัคร
UI_GUILDCOMBAT_CANCEL_MSG,Do you want to withdraw from the Guild Siege?,คุณต้องการถอนตัวจาก Guild Siege หรือไม่?
UI_GUILDCOMBAT_SELECT_TITLE,Set Entry List for Guild Siege,ตั้งค่ารายการเข้าสำหรับ Guild Siege
UI_GUILDCOMBAT_SELECT_CONNECTED,Connected Guild Members,สมาชิกกิลด์ที่เชื่อมต่อ
UI_GUILDCOMBAT_SELECT_ENTRANT,Entrant List,รายชื่อผู้เข้าร่วม
UI_GUILDCOMBAT_SELECT_RIGHT_TIP,Add a connected Guild Member to the entrant list.,เพิ่มสมาชิกกิลด์ที่เชื่อมต่อไปยังรายชื่อผู้เข้าร่วม
UI_GUILDCOMBAT_SELECT_LEFT_TIP,Delete a Guild Member from the entrant list.,ลบสมาชิกกิลด์ออกจากรายชื่อผู้เข้าร่วม
UI_GUILDCOMBAT_SELECT_UP_TIP,Arrange the selected Guild member to the upper side.,จัดเรียงสมาชิกกิลด์ที่เลือกไว้ด้านบน
UI_GUILDCOMBAT_SELECT_DOWN_TIP,Arrange the selected Guild member to the lower side.,จัดเรียงสมาชิกกิลด์ที่เลือกไว้ด้านบน
UI_GUILDCOMBAT_SELECT_COMPLETE,Complete,เสร็จสิ้น
UI_GUILDCOMBAT_SELECT_COMPLETE_TIP,Complete the entry list.,กรอกรายการเข้าเสร็จสิ้น
UI_GUILDCOMBAT_SELECT_DEFENDER,Defender,Defender
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP,Selecting the defender,เลือก defender
UI_GUILDCOMBAT_SELECT_REMAKE,Remake,Remake
UI_GUILDCOMBAT_SELECT_REMAKE_TIP,Remake the entry list.,สร้างรายการใหม่
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP2,Opponents will get bonus point when your Guild Defender is killed.,ฝ่ายตรงข้ามจะได้รับคะแนนโบนัสเมื่อ Guild Defender ของคุณถูกฆ่า
UI_GUILDCOMBAT_SELECT_INFO,Register your team. Starting %d members (Maximum %d),ลงทะเบียนทีมของคุณ สมาชิกเริ่มต้น %d ราย (สูงสุด %d)
UI_GUILDCOMBAT_SELECT_ENTRANT_TIP,5 selected members will join the Guild Siege first. Please make an entrant list.,สมาชิกที่เลือก 5 คนจะเข้าร่วม Guild Siege ก่อน กรุณาทำรายชื่อผู้เข้าร่วม
UI_GUILDCOMBAT_SELECT_REMAKE_MAKEUP,Would like to organize line up for guild siege again?,ต้องการจัด line up สำหรับ guild siegeอีกครั้งหรือไม่?
UI_GUILDCOMBAT_TELE_TITLE,Guild Siege Introduction,แนะนำ Guild Siege
UI_GUILDCOMBAT_TELE_MSG,Entrance has started. Would you like to teleport to the Guild Siege arena?,ทางเข้าเริ่มแล้ว คุณต้องการเทเลพอร์ตไปยังสนามประลอง Guild Siegeหรือไม่?
UI_GUILDCOMBAT_JOIN_TITLE,Entering Guild Siege Arena,เข้า Guild Wars Arena
UI_GUILDCOMBAT_JOIN_MSG,Do you join the Guild Siege?,คุณเข้าร่วม Guild Siege หรือไม่?
UI_NETWORK_ERROR_TITLE,Network Error,อินเตอร์เน็ตมีปัญหา ขาดการเชื่อมต่อกับเซิร์ฟเวอร์
UI_NETWORK_ERROR_MSG,"A network error happened, please check your connection and login again.",อินเตอร์เน็ตมีปัญหา โปรดตรวจสอบการเชื่อมต่อและเข้าสู่ระบบอีกครั้ง
UI_GUILDCOMBAT_JOINWAR_TITLE,Resurrection Location,สถานที่ฟื้นคืนชีพ
UI_GUILDCOMBAT_JOINWAR_1_TIP,You have entered the 1st zone.,คุณได้เข้าสู่พื้นที่เขตที่ 1 แล้ว
UI_GUILDCOMBAT_JOINWAR_2_TIP,You have entered the 2nd zone.,คุณได้เข้าสู่พื้นที่เขตที่ 2 แล้ว
UI_GUILDCOMBAT_JOINWAR_3_TIP,You have entered the 3rd zone.,คุณได้เข้าสู่พื้นที่เขตที่ 3 แล้ว
UI_GUILDCOMBAT_JOINWAR_4_TIP,You have entered the 4th zone.,คุณได้เข้าสู่พื้นที่เขตที่ 4 แล้ว
UI_GUILDCOMBAT_JOINWAR_5_TIP,You have entered the 5th zone.,You have entered the 5th zone.
UI_GUILDCOMBAT_JOINWAR_6_TIP,You have entered the 6th zone.,You have entered the 6th zone.
UI_GUILDCOMBAT_JOINWAR_7_TIP,You have entered the 7th zone.,You have entered the 7th zone.
UI_GUILDCOMBAT_JOINWAR_8_TIP,You have entered the 8th zone.,You have entered the 8th zone.
UI_GUILDCOMBAT_JOINWAR_SELECT,Select the zone you wish to enter.,เลือกพื้นที่ที่คุณต้องการเข้า
UI_GUILDCOMBAT_JOINWAR_MSG,"In %d seconds, you will enter zone %s.",ใส่ %d หลัง %s วินาที
UI_GUILDCOMBAT_JOINWAR_RANDOM,Random,สุ่ม
UI_CHAT_ADMIN,[Admin] %s,[Admin] %s
UI_GUILDCOMBAT_RATE,Current rank:,อันดับปัจจุบัน:
UI_GUILDCOMBAT_PERSON_RATE,Individual rank:,การจัดอันดับบุคคล:
UI_TOOLTIP_EXPBOX,#b%s's exp box#nb\nThe time left: %s,กล่อง exp ของ #b%s#nb\nเวลาที่เหลือ: %s
UI_GUILDCOMBAT_JOIN_READY,Gain entrance when one of your guild mates dies.,จะเข้าได้เมื่อเพื่อนร่วมกิลด์ของคุณเสียชีวิต
UI_GUILDCOMBAT_JOIN_READY2,Be ready!,เตรียมพร้อม!
UI_GUILDCOMBAT_LOG_REALTIME,[%s]%s [%s] has killed [%s]%s [%s] and has gained %d points.,[%s]%s [%s] สังหาร [%s]%s [%s] และได้รับ %d points
UI_GUILDCOMBAT_LOG_MASTER,Guild Master,Guild Master
UI_GUILDCOMBAT_LOG_DEFENDER,Defender,Defender
UI_GUILDCOMBAT_RESULT_TITLE,Guild & Member Ranking,การจัดอันดับกิลด์และสมาชิก
UI_GUILDCOMBAT_RESULT_GUILD,Guild Ranking,อันดับกิลด์
UI_GUILDCOMBAT_RESULT_MEMBER,Member Ranking,อันดับสมาชิก
UI_GUILDCOMBAT_RESULT_RANK,United Rank,United Rank
UI_GUILDCOMBAT_RESULT_LOG,Battle Log,Battle Log
UI_GUILDCOMBAT_LOG_GUILD,[%s],[%s]
UI_GUILDCOMBAT_LOG1,Basic Point +2,Basic Point +2
UI_GUILDCOMBAT_LOG2,Guild Master Bonus +1,Guild Master Bonus +1
UI_GUILDCOMBAT_LOG3,Defender Bonus +1,Defender Bonus +1
UI_GUILDCOMBAT_LOG4,Kill bonus +1,Kill bonus +1
UI_GUILDCOMBAT_LOG5,Resurrecting Bonus +1,Resurrecting Bonus +1
UI_GUILDCOMBAT_LOG6,Killing streak Bonus +%d,Killing streak Bonus +%d
UI_GUILDCOMBAT_LOG_POINT,(%d grade),(%d grade)
UI_GUILDCOMBAT_LOG_ATTACK,Attack,โจมตี
UI_GUILDBANK_GUILDCOMBAT_CLOAK_TIP,Creating Dragon Cloak (The condition: For the guild which wins the guild war).,การสร้างเสื้อคลุมมังกร (เงื่อนไข: สำหรับกิลด์ที่ชนะguild war)
UI_GUILDBANK_GUILDCOMBAT_CREATE_CLOAK,"It takes 10,000 penya to create a Dragon Cloak. Would you like to create it?","ต้องใช้ 10,000 penya เพื่อสร้าง Dragon cloak คุณต้องการสร้างหรือไม่?"
UI_GUILDCOMBAT_RANKING_TITLE,Guild Member Ranking,อันดับสมาชิกกิลด์
UI_GUILDCOMBAT_RANKING_RANK,Rank,Rank
UI_GUILDCOMBAT_RANKING_POINT,Grade,Grade
UI_WORLD_DEVICEMOTION_TIP,Motion,เคลื่อนไหว
UI_WORLD_TURBO_TIP,Fuel,เชื้อเพลิง
UI_NAVIGATOR_SHIP,Ship,เรือ
UI_OPTION_TOON_STYLE,Outline,Outline
UI_OPTION_RIM_OUTLINE,Rim Outlines,Rim Outlines
UI_APP_WIKI_TIP,Get help from Wiki,รับความช่วยเหลือจาก Wiki
UI_ROSHAMBO_OPEN_CONFIRM,I challenge you to a game of Rock-Paper-Scissors!,ฉันท้าให้คุณเล่นเกม Rock-Paper-Scissors!
UI_ROSHAMBO_TITLE,Rock-Paper-Scissors,เกมค้อน กระดาษ กรรไกร
UI_ROSHAMBO_VS,VS,VS
UI_ROSHAMBO_SCISSOR,Scissors,กรรไกร
UI_ROSHAMBO_ROCK,Rock,ค้อน
UI_ROSHAMBO_PAPER,Paper,กระดาษ
UI_ROSHAMBO_WINNINGCOUNT,%d win(s),%d ชนะ(s)
UI_ROSHAMBO_DEFEAT,You Lose!,คุณแพ้!
UI_ROSHAMBO_WIN_TITLE,You Win!,คุณชนะ!
UI_ROSHAMBO_WIN_END,End,End
UI_ROSHAMBO_WIN_NEXT,Next,ถัดไป
UI_ROSHAMBO_WIN_MSG,Press END if you want to claim your current prize and stop playing or press NEXT to continue playing for more prizes -,ซื้อบัตรแล้วกด END เพื่อรับสินค้าในปัจจุบันให้คลิกปุ่ม NEXT เพื่อเล่นต่อไปเพื่อรับรางวัลมากขึ้น -
UI_ROSHAMBO_WIN_MSG2,Please Note: You will not receive your current prize if you choose to continue playing.,หมายเหตุ: คุณจะไม่ได้รับรางวัลในปัจจุบันหากคุณเลือกที่จะเล่นต่อ
UI_ROSHAMBO_WIN_MSG3,"Congratulations, you won %d time(s)! You receive %s x%d.",ขอแสดงความยินดีคุณได้รับ %d ครั้ง! คุณได้รับ %s x%d
UI_EXCHANGE_COUNT_TITLE,Input item quantity,จำนวนไอเทมที่ป้อน
UI_EXCHANGE_COUNT_MSG,How many?,เท่าไหร่?
UI_EXCHANGE_COUNT_LABEL,Number:,จำนวน:
UI_TOOLTIP_PET_REAR,[Raised Pet],[Raised Pet] สัตว์เลี้ยงสำหรับฟักไข่
UI_TOOLTIP_PET_PICKUP,[Pick-Up Pet],[Pick-Up Pet] สัตว์เก็บของ
UI_PET_GRADE_0,Egg,Egg
UI_PET_GRADE_1,F Tier,ระดับ F
UI_PET_GRADE_2,E Tier,ระดับ E
UI_PET_GRADE_3,D Tier,ระดับ D
UI_PET_GRADE_4,C Tier,ระดับ C
UI_PET_GRADE_5,B Tier,ระดับ B
UI_PET_GRADE_6,A Tier,ระดับ A
UI_PET_GRADE_7,S Tier,ระดับ S
UI_PET_EXP_MAX,Exp: 99.99%,EXP : 99.99%%
UI_PET_EXP,Exp: %.2f%%,EXP : %.2f%%
UI_TOOLTIP_ABILITY,Bonus,Bonus
UI_PET_HP,Energy: %d / %d,พลังงาน : %d / %d
UI_PET_LEVEL,Lv%d,Lv%d
UI_PET_DEAD,(DEAD),(ตาย)
UI_PET_REROLL_TIER,Scroll-rerolled tier:,Scroll-rerolled tier:
UI_TARGET_CLEAR,Clear the target,เคลียร์เป้าหมาย
UI_OPTION_TAB_UI,Interface,รูปแบบหน้าจอ
UI_OPTION_AUTO_ATTACK,Auto Attack,โจมตีอัตโนมัติ
UI_OPTION_FIXED_CAMERA,Fixed Camera,Fixedกล้อง
UI_OPTION_OTHER_DAMAGES,Display all damage,แสดงความเสียหายทั้งหมด
UI_OPTION_HIDE_OTHER_PLAYERS,Hide other Players,ซ่อนผู้เล่นคนอื่น
UI_OPTION_TRANSPARENT_CHAT,Transparent chat,แชทโปร่ง
UI_OPTION_RIGHT_CLICK_MENU,Right Click Player Menu,คลิกเมาส์ขวาที่เมนูผู้เล่น
UI_OPTION_TOP_PLAYER_GAUGES,MP & FP Gauges,เกจ MP & FP
UI_OPTION_TOP_PLAYER_GAUGES_TIP,Enables FP & MP gauges above the player.,เปิดใช้งานเกจ FP & MP เหนือผู้เล่น
UI_OPTION_SELECT_PETS,Select Pets,เลือกสัตว์เลี้ยง
UI_FACE_SHOP_TITLE,Plastic Surgery,การทำศัลยกรรมพลาสติก
UI_FACE_SHOP_BASE_FACE,Friendly Face,ใบหน้าที่เป็นมิตร
UI_FACE_SHOP_NEW_FACE,New Face,หน้าใหม่
UI_TOOLTIP_SPELL_RANGE,Spell Range: %d,ระยะเวทย์: %d
UI_TOOLTIP_COMBO_TYPE,Combo: %s,Combo: %s
UI_TOOLTIP_COMBO_STEP,Step,ขั้นตอน
UI_TOOLTIP_COMBO_CIRCLE,Circle,วงกลม
UI_TOOLTIP_COMBO_FINISH,Finish,เสร็จสิ้น
UI_TOOLTIP_BASE_DAMAGE,Base Damage: %d ~ %d,ดาเมจพื้นฐาน: %d ~ %d
UI_TOOLTIP_SCALE_ATTACK,Attack Scaling,สเกลการโจมตี
UI_TOOLTIP_SCALE_HEAL,Heal Scaling,สเกลการฟื้นฟู
UI_TOOLTIP_SCALE_TIME,Time Scaling,สเกลระยะเวลา
UI_TOOLTIP_SCALE_CHARGE,Dec. Charging Time Scaling,Dec. Charging Time Scaling
UI_TOOLTIP_SCALE_PARAM,Scaling,สเกล
UI_TOOLTIP_SCALE_PARAM_PER,per,ต่อ
UI_TOOLTIP_SCALE_PARAM_MAX,max,สูงสุด
UI_TOOLTIP_PVP,PVP,PVP
UI_TOOLTIP_PVE,PVE,PVE
UI_TOOLTIP_AROUND,Around,ประมาณ
UI_TOOLTIP_BASE_HEAL,Base Heal: %d,ฟื้นฟูพื้นฐาน: %d
UI_TOOLTIP_BASE_HEAL_MP,Base MP Heal: %d,Base MP Heal: %d
UI_TOOLTIP_BASE_HEAL_FP,Base FP Heal: %d,Base FP Heal: %d
UI_TOOLTIP_BASE_TIME,Base Time: %.2d:%.2d.%.3d,Base Time: %.2d:%.2d.%.3d
UI_TOOLTIP_BASE_TIME_PVP,/ %.2d:%.2d (PVP & Giants),/ %.2d:%.2d (PVP & Giants)
UI_TOOLTIP_PROBABILITY,Probability: %d%%,ความเป็นไปได้: %d%%
UI_TOOLTIP_PROBABILITY_PVP,/ %d%% (PVP & Giants),/ %d%% (PVP & Giants)
UI_TOOLTIP_PROBABILITY_FLYBACK,Knockdown Probability: %d%%,Knockdown Probability: %d%%
UI_TOOLTIP_COOLDOWN,Cooldown: %.2d:%.2d,คูลดาวน์: %.2d:%.2d
UI_TOOLTIP_COOLDOWN_PVP,/ %.2d:%.2d (PVP),/ %.2d:%.2d (PVP)
UI_TOOLTIP_COOLDOWN_ONLY_PVP,Cooldown: %.2d:%.2d (PVP),Cooldown: %.2d:%.2d (PVP)
UI_TOOLTIP_COOLDOWN_ONEND,(After Expiry),(After Expiry)
UI_TOOLTIP_CASTING,Casting Time: %.2d:%.2d,ระยะเวลาร่าย: %.2d:%.2d
UI_TOOLTIP_CHARGING,Charging Time: %.2d:%.2d,Charging Time: %.2d:%.2d
UI_NEWCHAR_FACE,Face,ใบหน้า
UI_NEWCHAR_HAIR,Hair,ผม
UI_NEWCHAR_HAIR_COLOR,Hair Color,สีผม
UI_WORLD_ZOOM_LEVEL,%dX Zoom. Press the Scroll Lock Key to toggle.,%dX ซูม กดปุ่ม Scroll Lock เพื่อสลับ
UI_KEYBIND_CHAR_CONTROL,Movement Keys,ปุ่มเคลื่อนไหว
UI_KEYBIND_MOVE_FORWARD,Move Forward,ไปข้างหน้า
UI_KEYBIND_MOVE_BACKWARD,Move Backward,ไปข้างหลัง
UI_KEYBIND_TURN_LEFT,Turn Left,ไปทางซ้าย
UI_KEYBIND_TURN_RIGHT,Turn Right,ไปทางขวา
UI_KEYBIND_JUMP,Jump,กระโดด
UI_KEYBIND_WALK,Toggle Run/Walk,สลับการวิ่ง/เดิน
UI_KEYBIND_SKILL_COMBO,Action Slot,Action Slot
UI_KEYBIND_CLEAR_TARGET,Clear Target,เป้าหมายที่ชัดเจน
UI_KEYBIND_TRACE_TARGET,Follow Target,ติดตามเป้าหมาย
UI_KEYBIND_SELECT_TARGET,Select PVP Target,เลือกเป้าหมาย PVP
UI_KEYBIND_APPLETS,Windows,หน้าต่าง
UI_KEYBIND_CAMERA,Camera Control,การควบคุมกล้อง
UI_KEYBIND_CAMERA_LEFT,Rotate Left,หมุนซ้าย
UI_KEYBIND_CAMERA_RIGHT,Rotate Right,หมุนขวา
UI_KEYBIND_CAMERA_UP,Rotate Up,หมุนขึ้น
UI_KEYBIND_CAMERA_DOWN,Rotate Down,หมุนลง
UI_KEYBIND_ZOOM_IN,Zoom In,ซูมเข้า
UI_KEYBIND_ZOOM_OUT,Zoom Out,ซูมออก
UI_KEYBIND_ZOOM_LEVEL,Toggle Zoom,สลับการซูม
UI_KEYBIND_TASKBAR,Taskbar Functions,ฟังก์ชั่นแถบงาน
UI_KEYBIND_TASKBAR_N,Taskbar %d,แถบงาน %d
UI_KEYBIND_TASKBAR_SLOT,Taskbar Slot %d,สล็อตแถบงาน %d
UI_KEYBIND_TASKBAR2_SLOT,2nd Bar Slot %d,ช่องที่ 2 %d
UI_KEYBIND_TASKBAR3_SLOT,3rd Bar Slot %d,ช่องที่ 3 %d
UI_KEYBIND_TASKBAR2,Additional Taskbars,แถบงานเพิ่มเติม
UI_KEYBIND_FULLSCREEN,Toggle Fullscreen,สลับโหมดเต็มหน้าจอ
UI_KEYBIND_MAIN_MENU,Main Menu,เมนูหลัก
UI_KEYBIND_TOGGLE_UI,Hide/Show UI,ซ่อน/แสดง UI
UI_KEYBIND_TOGGLE_SCREENSHOT,Screenshot Mode,โหมดถ่ายภาพหน้าจอ
UI_KEYBIND_GAME,Game Functions,ฟังก์ชั่นเกม
UI_KEYBIND_NONE,Not Bound,ไม่ผูกมัด
UI_KEYBIND_UNBIND,Unbind the key,คลายกุญแจ
UI_KEYBIND_TITLE,Keys,กุญแจ
UI_KEYBIND_RESET,Reset,รีเซ็ต
UI_UPGRADECARD_TITLE,Socket Card Upgrade,อัพเกรด Socket Card
UI_UPGRADECARD_REGISTER,Register material card.,ลงทะเบียนmaterial card
UI_UPGRADECARD_INFO,Fuse 10 material cards to receive 1 higher-grade card.,หลอมรวมmaterial cards 10 ใบเพื่อรับการ์ดเกรดสูงกว่า 1 ใบ
UI_RESHUFFLECARD_TITLE,Weapon Socket Card Reshuffle,การสับเปลี่ยนช่องการ์ดในอาวุธ
UI_RESHUFFLECARD_REGISTER,Register weapon material card.,ลงทะเบียน weapon material card
UI_RESHUFFLECARD_INFO,Fuse 3 weapon material cards to receive 1 same grade card.,ผสม weapon material cards 3 ใบเพื่อรับการ์ดเกรดเดียวกัน 1 ใบ
UI_RESHUFFLECARD_CONFIRM,"If you reshuffle the cards, the cards used as materials disappear.\nDo you want to continue?",หากคุณสุ่มการ์ดใหม่ การ์ดที่ใช้เป็นวัสดุจะหายไป\nคุณต้องการดำเนินการต่อหรือไม่?
UI_CONVERTSOULLINK_TITLE,Convert soul link,แปลง soul link
UI_CONVERTSOULLINK_INFO,You can convert the item a soul-linked type.,คุณสามารถแปลงประเภท soul link ของไอเท็ม
UI_CONVERTSOULLINK_CONFIRM,The converted item cannot be returned.\nDo you want to continue?,ไม่สามารถคืนไอเท็มที่แปลงแล้วได้\nต้องการดำเนินการต่อหรือไม่?
UI_CONVERTSOULLINK_NOTAVAILABLE,This item cannot be converted.,ไอเท็มไม่สามารถแปลงได้
UI_GUILD_SCROLLGADD_CONFIRM,The scroll will permanently increase the amount of members you can have in a guild by 5. If you join another guild it will have no effect on the new guild. Do you confirm the use?,scroll จะเพิ่มจำนวนสมาชิกที่คุณสามารถมีได้ 5 ในกิลด์อย่างถาวร หากคุณเข้าร่วมกิลด์อื่น จะไม่มีผลกับกิลด์ใหม่ ยืนยันการใช้งาน?
UI_GUILD_TOOLTIP_EXP,Exp:,Exp:
UI_GUILD_TOOLTIP_GOLD,Penya:,Penya:
UI_GUILD_TOOLTIP_LEVEL,#bNext level %d#nb,#bเลเวลถัดไป %d#nb
UI_CHANGECHANNEL_TITLE,Change Channel,เปลี่ยน Channel
UI_CHANGECHANNEL_MSG,Select channel:,เลือก channel:
UI_REPORT_TITLE,Report,Report
UI_REPORT_PLAYER_LABEL,Player,ผู้เล่น
UI_REPORT_REASON_LABEL,Reason,เหตุผล
UI_REPORT_MESSAGE_LABEL,Message,ข้อความ
UI_REPORT_SEND,Send,ส่ง
UI_REPORT_REASON0,Botting,Botting
UI_REPORT_REASON1,Real money transfer,จ่ายด้วยเงินจริง
UI_REPORT_REASON2,Cheating / hacking,โกง / แฮ็ค
UI_REPORT_REASON3,Bad behavior,พฤติกรรมแย่ๆ
UI_REPORT_REASON4,Insults,ดูถูก
UI_REPORT_CONFIRM,Are you sure you want to report %s?\n\nAbuse of this feature may result in your account being banned.,คุณแน่ใจหรือว่าต้องการรรีพอร์ทหรือรายงาน %s?\n\nการใช้คุณสมบัตินี้ในทางที่ผิดอาจส่งผลให้บัญชีของคุณถูกแบน
UI_APP_ACHIEVEMENTS_TIP,Displays the Achievements Menu.,แสดงเมนูความสำเร็จ
UI_ACHIEVEMENTS_TITLE,Achievements,ความสำเร็จ
UI_ACHIEVEMENTS_GENERAL_TAB,General,General
UI_ACHIEVEMENTS_MONSTERS_TAB,Monsters,มอนสเตอร์
UI_ACHIEVEMENTS_CONSUMABLES_TAB,Consumables,วัสดุสิ้นเปลือง
UI_ACHIEVEMENTS_TITLES_TAB,Titles & Badges,Titles & Badges
UI_ACHIEVEMENTS_EVENTS_TAB,Events,อีเว้นท์
UI_ACHIEVEMENTS_PLAYTIME_TAB,Play time,ระยะเวลาการเล่น
UI_ACHIEVEMENTS_CONNECTION_SERIES_TAB,Connection series,ซีรี่ส์การเชื่อมต่อ
UI_ACHIEVEMENTS_TOTAL_CONNECTION_TAB,Total connection,การเชื่อมต่อทั้งหมด
UI_ACHIEVEMENTS_DESCRIPTION,Description,Description
UI_ACHIEVEMENTS_DESCRIPTION_BINDS,This achievement is bound to your account.,ความสำเร็จนี้ผูกกับบัญชีของคุณ
UI_ACHIEVEMENTS_DESCRIPTION_TARGETMONSTERS,Monster(s) to kill: %s.,มอนสเตอร์ที่ต้องสังหาร: %s
UI_ACHIEVEMENTS_DESCRIPTION_TARGETITEMS,Item(s) to use: %s.,ไอเท็มที่ต้องใช้: %s
UI_ACHIEVEMENTS_REWARD,Reward List,รายชื่อรางวัล
UI_ACHIEVEMENTS_REWARD_TITLE,Title: #b%s#nb,ชื่อเรื่อง: #b%s#nb
UI_ACHIEVEMENTS_REWARD_LEVEL,Level %d,Level %d
UI_ACHIEVEMENTS_REWARD_CLAIMED,Claimed,ได้รับ
UI_ACHIEVEMENTS_REWARD_GOLD,Penya:,Penya:
UI_ACHIEVEMENTS_REWARD_ITEM,Item(s): %s,ไอเท็ม(s): %s
UI_ACHIEVEMENTS_REWARD_ATK,Attack rate on target(s): %d%%,อัตราการโจมตีต่อเป้าหมาย: %d%%
UI_ACHIEVEMENTS_PROGRESSION,Progression,ความก้าวหน้า
UI_ACHIEVEMENTS_CARD_LEVEL,Level %d,เลเวล %d
UI_ACHIEVEMENTS_CARD_BONUS,Attack +%s%%,โจมตี +%s%%
UI_ACHIEVEMENTS_NOTITLE,No Title,ไม่มีTitle
UI_ACHIEVEMENTS_NOTITLE_DESCRIPTION,Do not show any title.,ไม่แสดง title ใด ๆ
UI_ACHIEVEMENTS_PVPTITLE,PVP Title,PVP Title
UI_ACHIEVEMENTS_PVPTITLE_CURRENT,"(Currently ""%s"")","(ปัจจุบันคือ ""%s"")"
UI_ACHIEVEMENTS_PVPTITLE_DESCRIPTION,Show your current PVP title.,แสดงtitle PVP ปัจจุบันของคุณ
UI_ACHIEVEMENTS_TITLES_SELECT,Select,เลือก
UI_ACHIEVEMENTS_TITLES_FROM,From,จาก
UI_ACHIEVEMENTS_CLAIMBTN,Claim,ได้รับ
UI_ACHIEVEMENTS_CLAIMTIP,Receive your rewards!,รับรางวัลของคุณ!
UI_ACHIEVEMENTS_CLAIMTIP_RAND,Spin the wheel! Will you be lucky today?,หมุนวงล้อ! วันนี้คุณจะโชคดีไหมนะ?
UI_ACHIEVEMENTS_AVAILABLE,Available,มีอยู่
UI_ACHIEVEMENTS_COMPLETED,This achievement has been completed!,ความสำเร็จนี้เสร็จสมบูรณ์แล้ว!
UI_TOOLTIP_PARTY_LEVEL,Required Party Level: %d,เลเวลปาร์ตี้ที่ต้องการ: %d
UI_TOOLTIP_PARTY_POINTS,Required Points: %d,Pointsที่ต้องการ: %d
UI_PARTY_PERMANENT_CONFIRM,Members of your party will no longer be ejected automatically when they are offline. If you create or join another party it will have no effect on the new party. Do you confirm the use?,สมาชิกในปาร์ตี้ของคุณจะไม่ถูกขับออกโดยอัตโนมัติอีกต่อไปเมื่อออฟไลน์ หากคุณสร้างหรือเข้าร่วมปาร์ตี้อื่น จะไม่มีผลกับปาร์ตี้ใหม่ ยืนยันการใช้งาน?
UI_PARTY_PERMANENT,Permanent Party,ปาร์ตี้ถาวร
UI_SEARCHPARTY_TITLE,Search Party,ค้นหาปาร์ตี้
UI_SEARCHGUILD_TITLE,Search Guild,ค้นหากิลด์
UI_GROUPSEARCH,Search,ค้นหา
UI_TOOLTIP_TRANSMUTE,Transmutation:,แปรงร่าง:
UI_TOOLTIP_RARITY,Rarity:,ความหายาก:
UI_TOOLTIP_RARITY_NORMAL,Common,Common
UI_TOOLTIP_RARITY_RARE,Uncommon,Uncommon
UI_TOOLTIP_RARITY_STRONG,Rare,Rare
UI_TOOLTIP_RARITY_UNIQUE,Unique,Unique
UI_TOOLTIP_RARITY_VERYRARE,Very Rare,Very Rare
UI_TOOLTIP_RARITY_ULTIMATE,Ultimate,Ultimate
UI_WORLD_CASTING,Casting,การร่าย
UI_WORLD_HARVESTING,Harvesting,การเก็บเกี่ยว
UI_WORLD_OPENING,Opening,Opening
UI_WORLD_CHARGING,Charging,Charging
UI_NAVIGATOR_LOCALTIME,Local Time,เวลาท้องถิ่น
UI_NAVIGATOR_SERVERTIME,Server Time,เวลาเซิร์ฟเวอร์
UI_NAVIGATOR_MADRIGALTIME,Madrigal Time,เวลาใน Madrigal
UI_UPGRADESAFE_STOP,Stop,หยุด
UI_UPGRADESAFE_RESET,Reset,Reset
UI_UPGRADESAFE_MATERIAL_NORMAL,Power Dice,Power Dice
UI_UPGRADESAFE_MATERIAL_ULTIMATE,Sun Stone,Sun Stone
UI_UPGRADESAFE_MATERIAL_ELEMENT,Card,การ์ด
UI_UPGRADESAFE_COST,#b%s#nb per attempt,#b%s#nb ต่อครั้ง
UI_UPGRADESAFE_TARGET_PIERCING,Piercing Goal,Piercing Goal
UI_UPGRADESAFE_TARGET,Upgrade Goal,Upgrade Goal
UI_UPGRADESAFE_CURRENT_PIERCING,~Piercings~,~ เจาะ ~
UI_UPGRADESAFE_CURRENT,~Current Value~,~ มูลค่าปัจจุบัน ~
UI_SEARCHGROUP_MODE_NO,Not findable,ไม่สามารถหาได้
UI_SEARCHGROUP_MODE_CONFIRM,Leader approval,การอนุมัติจากผู้นำ
UI_SEARCHGROUP_MODE_FREE,Join freely,เข้าร่วมได้อย่างอิสระ
UI_GROUPSEARCH_REFRESH,Refresh,Refresh
UI_GROUPSEARCH_FILTER,Filter:,กรอง:
