Key,English
UI_GUILD_WAR_GIVEUP,Give Up
UI_GUILD_WAR_NAME,Guild Name:
UI_GUILD_WAR_LOGO,Guild Logo:
UI_GUILD_WAR_WON,Won:
UI_GUILD_WAR_LOST,Lost:
UI_GUILD_WAR_GAVEUP,Gave Up:
UI_GUILD_WAR_TIMELEFT,Time Left:
UI_OPTION_THEME,Theme
UI_HOME_PROLOGUE,Prologue
UI_SKILL_PLUS_TIP,Upgrade Skill Level
UI_SKILL_MAX_TIP,Maximize Skill Level
UI_SKILL_MINUS_TIP,Downgrade Skill Level
UI_SKILL_RESET,Reset
UI_SKILL_RESET_TIP,Redistribute skill point (Skill Point used is unavailable.)
UI_SKILL_SAVE,Finish
UI_SKILL_SAVE_TIP,Skill Point is distributed by pressing + or – button.
UI_SKILL_POINTS,Skill Points
UI_WARNING,Warning
UI_SKILL_CONFIRM_QUESTION,Confirm changes to skill points?
UI_OPTION_VIBRATIONS,Vibrations
UI_INVENTORY_SORT,Sort Item
UI_ITEM_DURATION_TITLE,Item Duration
UI_ITEM_DURATION_TIME_LEFT,Time Left
UI_QUERY_EQUIP_TITLE,View
UI_OPTION_EQUIP_VIEW,Equipment View
UI_OPTION_DUEL_REQUESTS,Duel Requests
UI_OPTION_DUEL_BETS,Duel Bets
UI_TRADE_TITLE,Trade
UI_TRADE_PENYA,Penya
UI_DROP_FILTER_TITLE,Pick Up Pet
UI_DROP_FILTER_SETTINGS,Pick Up item settings
UI_DROP_FILTER_CAT_EQUIPMENT,Equipment
UI_DROP_FILTER_0,Weapons
UI_DROP_FILTER_1,Armor
UI_DROP_FILTER_2,Accessory
UI_DROP_FILTER_3,Power Dice
UI_DROP_FILTER_4,Mineral
UI_DROP_FILTER_5,Element Card
UI_DROP_FILTER_6,Socket Card
UI_DROP_FILTER_7,Quest
UI_DROP_FILTER_8,Booty
UI_DROP_FILTER_CAT_MATERIAL,Material 
UI_DROP_FILTER_9,Food
UI_DROP_FILTER_10,FP Potion
UI_DROP_FILTER_11,Buff
UI_DROP_FILTER_12,Pet
UI_DROP_FILTER_13,Etc...
UI_DROP_FILTER_CAT_ETC,Etc
UI_DROP_FILTER_14,Common
UI_DROP_FILTER_15,Uncommon
UI_DROP_FILTER_16,Rare & Higher
UI_DROP_FILTER_17,Uncommon & Higher
UI_DROP_FILTER_19,MP Potion
UI_DROP_FILTER_APPLY,Apply
UI_TOOLTIP_ITEMTIME,Time Left:
UI_TOOLTIP_USE,Use: %s
UI_TOOLTIP_PERMANENTTIME,No Time Limit
UI_TOOLTIP_COOLTIME,Waiting Time for reuse: %.2d:%.2d
UI_RESURRECTION_TITLE,Resurrection Confirm
UI_RESURRECTION_MESSAGE,Another player is trying to resurrect you. Do you want to be resurrected?
UI_TOOLTIP_EQUIPSET,Set Effect
UI_TOOLTIP_BLOCKRATE,Block
UI_OPTION_FIELDVIEW_AUTO,Auto
UI_OPTION_FIELDVIEW_HIGH,High
UI_OPTION_FIELDVIEW_VERYHIGH,Very High
UI_OPTION_FIELDVIEW_MEDIUM,Medium
UI_OPTION_FIELDVIEW_LOW,Low
UI_OPTION_FIELDVIEW_VERYLOW,Very Low
UI_OPTION_FIELDVIEW,View
UI_OPTION_FIELDVIEW_EXTREME,Extreme
UI_OPTION_COLORBLIND_1,Protanopia
UI_OPTION_COLORBLIND_2,Deutranopia
UI_OPTION_COLORBLIND_3,Tritanopia
UI_OPTION_RENDERSCALE,Resolution
UI_OPTION_FOV,FoV
UI_OPTION_FOV_TIP,Field of View
UI_OPTION_ADVANCEDSFX,Special Effects
UI_INFO_PANG_TUTORIAL,Tutorial
UI_INFO_PANG_NEXT,Next
UI_INFO_PANG_DONE,Done
UI_INFO_PANG_GOTIT,Got it
UI_INFO_PANG_CHECKTHELIST,Check the List
UI_TUTORIAL_LIST_TITLE,Tutorial
UI_DROP_ITEM_CONFIRM,Really drop this item?
UI_PRIVATE_SHOP_NAME,Shop Name
UI_PRIVATE_SHOP_LIST,Sale List
UI_PRIVATE_SHOP_RESET,Reset
UI_PRIVATE_SHOP_CHAT,Chat
UI_PRIVATE_SHOP_SELL_TITLE,Sell Item Registration
UI_PRIVATE_SHOP_QUANTITY,Quantity
UI_PRIVATE_SHOP_UNIT_PRICE,Unit price
UI_PRIVATE_SHOP_OPEN,Will you open your shop?
UI_PRIVATE_SHOP_CLOSE,Will you close your shop?
UI_PERSONAL_SHOP_TITLE,%s's Private Shop
UI_PRIVATE_SHOP_BUY_TITLE,Buy Item
UI_PRIVATE_SHOP_BUY,Purchase
UI_PRIVATE_SHOP_TOTAL_COST,Total Cost
UI_PERSONAL_SHOP_CHAT_TITLE,Chatting
UI_PERSONAL_SHOP_CHAT_USER,User
UI_PERSONAL_SHOP_CHAT_MESSAGE,Message
UI_PERSONAL_SHOP_CHAT_INPUT,Input
UI_PERSONAL_SHOP_CHAT_DIALOG,Dialog
UI_PERSONAL_SHOP_CHAT_INFO,Information
UI_PERSONAL_SHOP_CHAT_SEND,Send
UI_PERSONAL_SHOP_JOIN,%s has just logged in.
UI_PERSONAL_SHOP_LEAVE,%s has disconnected.
UI_PERSONAL_SHOP_SALE,Character: %s has purchased %s(%d) for %lld penya.
UI_CONFIRM_SELL_PREMIUM_TITLE,Confirm Selling Premium Item
UI_CONFIRM_SELL_PREMIUM_MSG,"This is a Premium Item. Are you sure?\nOnce it is sold, it cannot be recovered."
UI_TOOLTIP_ITEM_BINDS,[Soul-Linked]
UI_TOOLTIP_ACCOUNT_BINDS,[Account-Linked]
UI_BEAUTY_SHOP_TITLE,Hair Shop
UI_BEAUTY_SHOP_RESET,Reset
UI_BEAUTY_SHOP_HAIR_COLOR,Hair Color
UI_BEAUTY_SHOP_HAIR_STYLE,Hair Style
UI_BEAUTY_SHOP_PREVIEW,Preview
UI_BEAUTY_SHOP_STYLE_PRICE,Style Price:
UI_BEAUTY_SHOP_COLOR_PRICE,Color Price:
UI_BEAUTY_SHOP_TOTAL_PRICE,Total:
UI_BEAUTY_SHOP_CONFIRM_TITLE,Confirm Purchase
UI_OPTION_TRADE,Trade Requests
UI_TRADE_REQUEST_TITLE,Trade
UI_TRADE_REQUEST_QUESTION,%s wants to trade. Would you like to trade?
UI_TRADE_PUT_GOLD_QUESTION,How many do you want to move?
UI_TRADE_PUT_GOLD_QTY,Penya:
UI_TRADE_ITEM,Item
UI_TRADE_PUT_ITEM_QUESTION,Move how many items?
UI_TRADE_PUT_ITEM_QTY,Number:
UI_TRADE_CONFIRM_TITLE,Confirm Trade
UI_TRADE_CONFIRM_QUESTION,Do you accept the trade?
UI_TRADE_CONFIRM_WAIT,You need to wait for approval.
UI_OPTION_MOBILE_DIR,Directional Pad
UI_PIERCING_TITLE,Piercing
UI_PIERCING_PIERCE_ITEM,Pierce Item
UI_PIERCING_ITEM,Item
UI_PIERCING_MATERIAL,Power Dice
UI_PIERCING_PROTECTSCROLL,GProtect
UI_PIERCING_CONFIRMATION,Do you want to pierce this item?
UI_PIERCING_UNSAFE,Without Scroll of GProtect you will lose the item in case of failure.
UI_PIERCING_REMOVE_TITLE,Remove Piercing Card
UI_PIERCING_REMOVE_MSG,Remove the selected piercing card from this item? #b#cffff0000The removed card will be destroyed.#nc#nb
UI_PIERCING_REMOVE_OK,Remove
UI_UPGRADE_PROBTOOLTIP,The success rate increases with each failed attempt.
UI_UPGRADE_ATTEMPTS,Upgrade attempts: %d
UI_ELEMENT_ATTEMPTS,Element upgrade attempts: %d
UI_PIERCING_ATTEMPTS,Piercing attempts: %d
UI_ACCESSORY_TITLE,Accessory Upgrade
UI_ACCESSORY_UPGRADE_ITEM,Upgrade Item
UI_ACCESSORY_PROTECTSCROLL,AProtect
UI_ACCESSORY_UNSAFE,Without Scroll of AProtect you will lose the item in case of failure.
UI_UPGRADE_TITLE,Upgrade
UI_UPGRADE_ITEM,Item
UI_UPGRADE_MATERIAL,Power Dice/Card
UI_UPGRADE_PROTECTSCROLL,SProtect
UI_ULTIMATE_UPGRADE_PROTECTSCROLL,XProtect
UI_ULTIMATE_UPGRADE_MATERIAL,Sunstone
UI_UPGRADE_CHANCESCROLL,SFusion
UI_UPGRADE_DEGRADE,Attribute level will decrease in case of failure. You will not lose the item.
UI_UPGRADE_UNSAFE,Without Scroll of SProtect you will lose the item in case of failure.
UI_UPGRADE_CONFIRMATION,Do you want to upgrade this item?
UI_ATTRIBUTE_REMOVE_TITLE,Remove Element Upgrade
UI_ATTRIBUTE_REMOVE_MSG_TITLE,Confirm Removal
UI_ATTRIBUTE_REMOVE_MSG,Remove the element upgrade from this item? #b#cffff0000This action cannot be undone.#nc#nb
UI_REVIVAL_CASH_SHOP_TIP,You can use a Premium item.
UI_REVIVAL_REVIVAL,Original Place
UI_REVIVAL_REVIVAL_TIP,You will be revived where you died.
UI_COMMITEM_DIALOG_TITLE,Use Item
UI_RESTATE_CONFIRM_TITLE,Confirm Re-Stat
UI_RESTATE_CONFIRM_ALL,All character stats will be reset. Continue?
UI_RESTATE_CONFIRM_STR,Your Strength (STR) stat will be reset and the points will be refunded to you. Continue?
UI_RESTATE_CONFIRM_STA,Your Stamina (STA) stat will be reset and the points will be refunded to you. Continue?
UI_RESTATE_CONFIRM_DEX,Your Dexterity (DEX) stat will be reset and the points will be refunded to you. Continue?
UI_RESTATE_CONFIRM_INT,Your Intellect (INT) stat will be reset and the points will be refunded to you. Continue?
UI_RESTATE_CONFIRM_STR_LOW,50 Strength (STR) points will be refunded to you. Do you want to continue?
UI_RESTATE_CONFIRM_STA_LOW,50 Stamina (STA) points will be refunded to you. Do you want to continue?
UI_RESTATE_CONFIRM_DEX_LOW,50 Dexterity (DEX) points will be refunded to you. Do you want to continue?
UI_RESTATE_CONFIRM_INT_LOW,50 Intelligence (INT) points will be refunded to you. Do you want to continue?
UI_OPTION_BATTLEBGM,Battle Music
UI_OPTION_VOICES,Japanese Voices
UI_PK_CONFIRM_TITLE,P.K
UI_PK_CONFIRM,You are about to commit a crime. Do you attack?
UI_BANK_ENTERPASS_TITLE,Bank Password
UI_BANK_ENTERPASS_MSG,Enter Bank PIN (4 Digits)
UI_BANK_ENTERPASS_PIN,PIN
UI_BANK_ENTERPASS_CHANGE,Change
UI_BANK_CHANGEPASS_TITLE,Bank PIN
UI_BANK_CHANGEPASS_MSG,Set/Change Bank PIN (4 Digits)
UI_BANK_CHANGEPASS_OLD,Old PIN:
UI_BANK_CHANGEPASS_NEW,New PIN:
UI_BANK_CHANGEPASS_CONFIRM,Confirm PIN:
UI_BANK_TITLE,Bank
UI_DUELREQUEST_TITLE,Duel Request
UI_DUELREQUEST_BETMSG,How much do you want to bet for this duel?
UI_DUELREQUEST_BETLBL,Penya:
UI_DUELREQUEST_MSG,%s challenges you to a duel %s. Do you accept?
UI_DUELREQUEST_PARTY,%s challenges your party to a duel %s. Do you accept?
UI_DUELREQUEST_NOBET,(no bet)
UI_DUELREQUEST_BETAMOUNT,with a %s Penya bet
UI_DUELRESULT_TITLE,Duel Result
UI_DUELRESULT_WIN,%s wins the Duel!
UI_DUELRESULT_LOSE,%s loses the Duel!
UI_CASHSHOP_RELOAD,TOP-UP
UI_CASHSHOP_LEGALINFO,Legal Information
UI_CASHSHOP_GSC,General Sales Conditions
UI_CASHSHOP_SHOWALL,Show All
UI_CASHSHOP_SEARCH,Search:
UI_CASHSHOP_SORT_DEFAULT,Default
UI_CASHSHOP_SORT_NAME_ASC,Name (A - Z)
UI_CASHSHOP_SORT_NAME_DESC,Name (Z - A)
UI_CASHSHOP_SORT_PRICE_ASC,Price (Low > High)
UI_CASHSHOP_SORT_PRICE_DESC,Price (High > Low)
UI_CASHSHOP_ITEMCOUNT,#b%d#nb items in the category.
UI_CASHSHOP_SEARCHCOUNT,#b%d#nb items matching search.
UI_CASHSHOP_EMPTY,No items found.
UI_CASHSHOP_CONFIRM_TITLE,Confirm purchase
UI_CASHSHOP_CONFIRM_MSG,Do you want to purchase %dx %s for %s?
UI_CASHSHOP_ORIGINAL_PRICE,Original price:
UI_CASHSHOP_PURCHASE,PURCHASE
UI_CASHSHOP_QUANTITY,Quantity:
UI_CASHSHOP_UNIT_PRICE,Unit price:
UI_CASHSHOP_TOTAL_PRICE,Total price:
UI_CASHSHOP_LIMITED_OFFER,Limited Offer! Expires in #b%s#nb
UI_CASHSHOP_SUPP_ITEM_OFFER,Get %d additional item(s) per unit purchase!
UI_CASHSHOP_PRODUCT_ID,Product ID:
UI_OPTION_POSTPROCESSING,Post-processing
UI_CASHSHOP_PURCHASEPROCESSING,"Processing the purchase, please wait..."
UI_GUILD_WAR_DECLARE_TITLE,Declare Guild Duel
UI_GUILD_WAR_DECLARE_INPUT,Target Guild
UI_GUILD_WAR_REQUEST_TITLE,Guild Duel Request
UI_GUILD_WAR_REQUEST_MSG,"The Guild Leader of %s, %s, declares a Guild duel. Do you Accept?"
UI_INDIRECTTALK_TITLE,Indirect conversation
UI_INDIRECTTALK_MOVER,Mover ID
UI_CREATEITEM_TITLE,Create Item
UI_CREATEITEM_TYPE,Type
UI_CREATEITEM_SEX,Sex
UI_CREATEITEM_JOB,Job
UI_CREATEITEM_LEVEL,Level
UI_CREATEITEM_QTY,Qty
UI_CREATEITEM_ITEM,Item
UI_CREATEITEM_CREATE,Create
UI_GUILD_WAR_GIVEUP_TITLE,Give Up
UI_GUILD_WAR_GIVEUP_MSG,Do you give up the Guild Duel?
UI_GUILD_WAR_PEACE_TITLE,Truce
UI_GUILD_WAR_PEACE_MSG,Do you propose a truce to the opposing Guild?
UI_GUILD_WAR_PEACE_CONFIRM_TITLE,Truce Approval
UI_GUILD_WAR_PEACE_CONFIRM_MSG,The opposing guild has proposed a truce. Do you approve the truce?
UI_TOOLTIP_ATKPOWER_VALUE,Attack
UI_RANDOM_SCROLL_TITLE,Random Option
UI_SUMMON_FRIEND_TITLE,Summon
UI_SUMMON_FRIEND_MSG,Select friend to summon
UI_SUMMON_FRIEND_INPUT,Name:
UI_SUMMON_FRIEND_CONFIRM,%s asked to summon you. Would you like to accept?
UI_FONT_EDIT_TITLE,Modify Letter Type
UI_FONT_EDIT_BOLD,Bold
UI_FONT_EDIT_LINE,Line
UI_FONT_EDIT_COLOR,Color
UI_FONT_EDIT_CANCELLINE,Cancel Line
UI_FONT_EDIT,Letter Edit
UI_SUMMON_PARTY_TITLE,Summon Party
UI_SUMMON_PARTY_MSG,You can summon party members. Unable to use in an event area (e.g. Clockworks). It will be activated for a minute. Summon party members?
UI_SUMMON_PARTY_CONFIRM_TITLE,Summon P. Members
UI_SUMMON_PARTY_CONFIRM_MSG,%s Party has asked to summon you. You will be summoned to the Party Leader. You have one minute to decide.
UI_SUMMON_PARTY_CONFIRM_HOW,How to Use
UI_SUMMON_PARTY_CONFIRM_TIP,If you click the icon (%s) on the upper of the right you will be teleported to the leader.
UI_SUMMON_PARTY_USE,You should be close for the summon to work. Make sure you are not in an Event arena. Do you want to be teleported?
UI_SUMMON_BUFF_ICON,You can go to the Party leader once you click double.
UI_CHANGE_SEX_TITLE,Change Sex
UI_CHANGE_SEX_FACE,Change Face
UI_ITEM_TRANSY_TITLE,Transy for Item
UI_ITEM_TRANSY_SEX,Change Sex of Item
UI_ITEM_TRANSY_PUT,Please input an item which you want to change.
UI_ITEM_TRANSY_PUT1,Please input an item on the left column.
UI_CHANGE_NAME_TITLE,Change Name
UI_CHANGE_NAME_INPUT,Enter your new name
UI_CHANGE_NAME_PET_TITLE,Change Pet Name
UI_CHANGE_NAME_PET_INPUT,Leave empty to reset to the default name
UI_CHANGE_NAME_PET_LABEL,Pet Name:
UI_NAVIGATOR_MARK,Mark:
UI_MAP_MARK_ADD,Add Mark
UI_MAP_MARK_DELETE,Delete
UI_MAP_MARK_DELETE_ALL,Delete All
UI_MAP_MARK_PUT_CHAT,Put it in the chat
UI_MAP_MARK_CHANGE_NAME,Name Change
UI_MAP_MARK,Position
UI_MAP_MARK_NAME_TITLE,Position Name Change
UI_MAP_MARK_NAME_INPUT,Please put new name
UI_TOOLTIP_EQUIPPED,[ Equipped ]
UI_TOOLTIP_ACTIVESELF,Also Casted on You
UI_TOOLTIP_ACTIVETARGET,Also Casted on Target
UI_TOOLTIP_CHANGEIFHAS,If you have %s
UI_TOOLTIP_CHANGEIFHAS_TARGET,If the target has %s
UI_TOOLTIP_GAINSTACKS,%s Stacks Gained: %d
UI_TOOLTIP_GAINSTACKS_PVP,%s Stacks Gained: %d / %d (PvP)
UI_ITEM_LINK_TITLE,Linked Item Info.
UI_BEAUTY_SHOP_COUPON_TITLE,Use Coupon
UI_BEAUTY_SHOP_COUPON_MSG,You have a Free Coupon. Do you want to use it now?
UI_BEAUTY_SHOP_COUPON,Using the Free Coupon.
UI_GUILD_MEMBER_TIP,#b%s#nb\nContribution: %s\nPenya Contribution: %s\nNumber of times surrendered: %d
UI_REMOVE_ELEM_TITLE,Apply Attribute
UI_REMOVE_ELEM_MSG,You can only trade or unequip the item after removing its elemental attributes. Will you remove them?
UI_HOME_LOGIN_ENTER_TIP,Enter Account ID
UI_HOME_PASSWORD_TIP,Enter Password
UI_CHAT_NORMAL_TIP,Send normal messages.
UI_CHAT_WHISPER_TIP,Send whispering messages.
UI_CHAT_SHOUT_TIP,Send shouting messages.
UI_CHAT_PARTY_TIP,Send messages to party members.
UI_CHAT_GUILD_TIP,Sending messages to guild members.
UI_CHAT_SYSTEM_TIP,Open System Message Window
UI_CHAT_FILTER_TIP,Filter function which allows you to filter the chatting.
UI_MESSENGER_MEMO_TIP,Able to check received messages when you are disconnected.
UI_GUILD_WAR_DECLARE_TIP,Request a Guild Duel
UI_GUILD_WAR_PEACE_TIP,Propose a truce to the senseless violence and fighting.
UI_GUILDBANK_SUPPORT_TIP,Make a Contribution to your Guild.
UI_GUILDBANK_CLOAK_TIP,Create a Guild Cloak with the logo you selected. (Guild Level 4)
UI_GUILDBANK_LOG_TIP,Open Guild Bank Log window.
UI_APP_DEBUG_TIP,Debug Window
UI_APP_INFO_PANG_TIP,Summon Info-Pang.
UI_APP_FAQ_TIP,FAQ
UI_APP_TIPS_TIP,Tips
UI_APP_HELP_TIP,Help
UI_APP_GUILD_TIP,Manage your Guild.
UI_APP_PARTY_TIP,Manage your Party.
UI_APP_COUPLE_TIP,Manage your Couple.
UI_APP_MESSENGER_TIP,Manage your Friends List
UI_APP_ITEMDURATION_TIP,Displays the duration of Cash Shop items.
UI_APP_CASHSHOP_TIP,Opens the Premium Item Shop.
UI_APP_QUEST_TIP,Shows the Quest Diary.
UI_APP_PRIVATESHOP_TIP,Allows you to open a Private Shop.
UI_APP_SKILL_TIP,Displays the Skills Menu.
UI_APP_INVENTORY_TIP,Opens your inventory.
UI_APP_CHARINFO_TIP,Shows detailed information about your character.
UI_APP_MOTION_TIP,Use emoticons and motions to express yourself.
UI_APP_STATUS_TIP,Character Status
UI_APP_CHAT_TIP,Open a chat window.
UI_APP_QUIT_TIP,Exit Program
UI_APP_SUPPORT_TIP,Open the Customer Support.
UI_APP_PRIVACY_TIP,Open the privacy tab.
UI_APP_LOGOUT_TIP,Logout
UI_APP_OPTION_TIP,Option
UI_APP_MAP_TIP,A Map of the World
UI_APP_NAVIGATOR_TIP,A mini-map to help you find your way.
UI_APP_NOTICE_TIP,Notice
UI_OPTION_OLD_KEYBOARD_MODE,Basic Keyboard Mode
UI_GUILDCOMBAT_OFFER_TITLE,Apply for Guild Siege
UI_GUILDCOMBAT_OFFER_TOTALAPPLICATION,Total Application Fee
UI_GUILDCOMBAT_OFFER_TOTALAPPLICATION_TIP,"Of the total application fees paid by the 10 highest paying Guilds, 35% is paid to the winning Guild."
UI_GUILDCOMBAT_OFFER_CURRENTAPPLICATION,Current Application Fee
UI_GUILDCOMBAT_OFFER_CURRENTAPPLICATION_TIP,Select a blank space and input the application fee
UI_GUILDCOMBAT_OFFER_PRIZEDETAIL,Prize Details
UI_GUILDCOMBAT_OFFER_PRESENT,1 Win: Dragon Cloak of the Initiate\n2 Wins Straight: Dragon Cloak of the Adept\n3 Wins Straight: Dragon Cloak of the Master\n4 Wins Straight: Dragon Cloak of the Hero
UI_GUILDCOMBAT_OFFER_CONFIRM,You have paid %d penya. Do you want to pay additional %d penya?
UI_GUILDCOMBAT_OFFER_ACCEPT_TIP,Apply for Guild Siege.
UI_GUILDCOMBAT_OFFER_PRESENT_TIP,"For prize details, please ask the Guild Manager, Donaris."
UI_GUILDCOMBAT_STATE_TITLE,Present Guild Siege Application Requirements
UI_GUILDCOMBAT_STATE_TIMELEFT,Time Left
UI_GUILDCOMBAT_STATE_TIMELEFT_TIP,Time left until next Guild Siege
UI_GUILDCOMBAT_STATE_TOTALBID,Total Bid:
UI_GUILDCOMBAT_STATE_TOTALBID_TIP,"From the combined bids paid by the 10 highest paying Guilds, 35% is paid to the winning Guild."
UI_GUILDCOMBAT_STATE_BIDRANKING,Bid Ranking
UI_GUILDCOMBAT_STATE_BIDRANKING_TIP,Your Guild cannot join a Guild Siege if your Guild Bid is ranked below 10th place. Please try again.
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM,Current Minimum Bid
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM_TIP,Current Guild Bid:
UI_GUILDCOMBAT_STATE_APPLY,Apply
UI_GUILDCOMBAT_STATE_APPLY_TIP,Show Guild Siege Application Menu.
UI_GUILDCOMBAT_STATE_REFRESH,Refresh
UI_GUILDCOMBAT_STATE_REFRESH_TIP,Review present Guild Siege Application Requirements.
UI_GUILDCOMBAT_STATE_LIST_TIP,The 10 Guilds that bid the highest amount of penya can join the Guild Siege.
UI_GUILDCOMBAT_CANCEL_TITLE,Guild Siege - Cancel Application
UI_GUILDCOMBAT_CANCEL_MSG,Do you want to withdraw from the Guild Siege?
UI_GUILDCOMBAT_SELECT_TITLE,Set Entry List for Guild Siege
UI_GUILDCOMBAT_SELECT_CONNECTED,Connected Guild Members
UI_GUILDCOMBAT_SELECT_ENTRANT,Entrant List
UI_GUILDCOMBAT_SELECT_RIGHT_TIP,Add a connected Guild Member to the entrant list.
UI_GUILDCOMBAT_SELECT_LEFT_TIP,Delete a Guild Member from the entrant list.
UI_GUILDCOMBAT_SELECT_UP_TIP,Arrange the selected Guild member to the upper side.
UI_GUILDCOMBAT_SELECT_DOWN_TIP,Arrange the selected Guild member to the lower side.
UI_GUILDCOMBAT_SELECT_COMPLETE,Complete
UI_GUILDCOMBAT_SELECT_COMPLETE_TIP,Complete the entry list.
UI_GUILDCOMBAT_SELECT_DEFENDER,Defender
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP,Selecting the defender
UI_GUILDCOMBAT_SELECT_REMAKE,Remake
UI_GUILDCOMBAT_SELECT_REMAKE_TIP,Remake the entry list.
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP2,Opponents will get bonus point when your Guild Defender is killed.
UI_GUILDCOMBAT_SELECT_INFO,Register your team. Starting %d members (Maximum %d)
UI_GUILDCOMBAT_SELECT_ENTRANT_TIP,5 selected members will join the Guild Siege first. Please make an entrant list.
UI_GUILDCOMBAT_SELECT_REMAKE_MAKEUP,Would like to organize line up for guild siege again?
UI_GUILDCOMBAT_TELE_TITLE,Guild Siege Introduction
UI_GUILDCOMBAT_TELE_MSG,Entrance has started. Would you like to teleport to the Guild Siege arena?
UI_GUILDCOMBAT_JOIN_TITLE,Entering Guild Siege Arena
UI_GUILDCOMBAT_JOIN_MSG,Do you join the Guild Siege?
UI_NETWORK_ERROR_TITLE,Network Error
UI_NETWORK_ERROR_MSG,"A network error happened, please check your connection and login again."
UI_GUILDCOMBAT_JOINWAR_TITLE,Resurrection Location
UI_GUILDCOMBAT_JOINWAR_1_TIP,You have entered the 1st zone.
UI_GUILDCOMBAT_JOINWAR_2_TIP,You have entered the 2nd zone.
UI_GUILDCOMBAT_JOINWAR_3_TIP,You have entered the 3rd zone.
UI_GUILDCOMBAT_JOINWAR_4_TIP,You have entered the 4th zone.
UI_GUILDCOMBAT_JOINWAR_5_TIP,You have entered the 5th zone.
UI_GUILDCOMBAT_JOINWAR_6_TIP,You have entered the 6th zone.
UI_GUILDCOMBAT_JOINWAR_7_TIP,You have entered the 7th zone.
UI_GUILDCOMBAT_JOINWAR_8_TIP,You have entered the 8th zone.
UI_GUILDCOMBAT_JOINWAR_SELECT,Select the zone you wish to enter.
UI_GUILDCOMBAT_JOINWAR_MSG,"In %d seconds, you will enter zone %s."
UI_GUILDCOMBAT_JOINWAR_RANDOM,Random
UI_CHAT_ADMIN,[Admin] %s
UI_GUILDCOMBAT_RATE,Current rank:
UI_GUILDCOMBAT_PERSON_RATE,Individual rank:
UI_TOOLTIP_EXPBOX,#b%s's exp box#nb\nThe time left: %s
UI_GUILDCOMBAT_JOIN_READY,Gain entrance when one of your guild mates dies.
UI_GUILDCOMBAT_JOIN_READY2,Be ready!
UI_GUILDCOMBAT_LOG_REALTIME,[%s]%s [%s] has killed [%s]%s [%s] and has gained %d points.
UI_GUILDCOMBAT_LOG_MASTER,Guild Master
UI_GUILDCOMBAT_LOG_DEFENDER,Defender
UI_GUILDCOMBAT_RESULT_TITLE,Guild & Member Ranking
UI_GUILDCOMBAT_RESULT_GUILD,Guild Ranking
UI_GUILDCOMBAT_RESULT_MEMBER,Member Ranking
UI_GUILDCOMBAT_RESULT_RANK,United Rank
UI_GUILDCOMBAT_RESULT_LOG,Battle Log
UI_GUILDCOMBAT_LOG_GUILD,[%s]
UI_GUILDCOMBAT_LOG1,Basic Point +2
UI_GUILDCOMBAT_LOG2,Guild Master Bonus +1
UI_GUILDCOMBAT_LOG3,Defender Bonus +1
UI_GUILDCOMBAT_LOG4,Kill bonus +1
UI_GUILDCOMBAT_LOG5,Resurrecting Bonus +1
UI_GUILDCOMBAT_LOG6,Killing streak Bonus +%d
UI_GUILDCOMBAT_LOG_POINT,(%d grade)
UI_GUILDCOMBAT_LOG_ATTACK,Attack
UI_GUILDBANK_GUILDCOMBAT_CLOAK_TIP,Creating Dragon Cloak (The condition: For the guild which wins the guild war).
UI_GUILDBANK_GUILDCOMBAT_CREATE_CLOAK,"It takes 10,000 penya to create a Dragon Cloak. Would you like to create it?"
UI_GUILDCOMBAT_RANKING_TITLE,Guild Member Ranking
UI_GUILDCOMBAT_RANKING_RANK,Rank
UI_GUILDCOMBAT_RANKING_POINT,Grade
UI_WORLD_DEVICEMOTION_TIP,Motion
UI_WORLD_TURBO_TIP,Fuel
UI_NAVIGATOR_SHIP,Ship
UI_OPTION_TOON_STYLE,Outline
UI_OPTION_RIM_OUTLINE,Rim Outlines
UI_APP_WIKI_TIP,Get help from Wiki
UI_ROSHAMBO_OPEN_CONFIRM,I challenge you to a game of Rock-Paper-Scissors!
UI_ROSHAMBO_TITLE,Rock-Paper-Scissors
UI_ROSHAMBO_VS,VS
UI_ROSHAMBO_SCISSOR,Scissors
UI_ROSHAMBO_ROCK,Rock
UI_ROSHAMBO_PAPER,Paper
UI_ROSHAMBO_WINNINGCOUNT,%d win(s)
UI_ROSHAMBO_DEFEAT,You Lose!
UI_ROSHAMBO_WIN_TITLE,You Win!
UI_ROSHAMBO_WIN_END,End
UI_ROSHAMBO_WIN_NEXT,Next
UI_ROSHAMBO_WIN_MSG,Press END if you want to claim your current prize and stop playing or press NEXT to continue playing for more prizes -
UI_ROSHAMBO_WIN_MSG2,Please Note: You will not receive your current prize if you choose to continue playing.
UI_ROSHAMBO_WIN_MSG3,"Congratulations, you won %d time(s)! You receive %s x%d."
UI_EXCHANGE_COUNT_TITLE,Input item quantity
UI_EXCHANGE_COUNT_MSG,How many?
UI_EXCHANGE_COUNT_LABEL,Number:
UI_TOOLTIP_PET_REAR,[Raised Pet]
UI_TOOLTIP_PET_PICKUP,[Pick-Up Pet]
UI_PET_GRADE_0,Egg
UI_PET_GRADE_1,F Tier
